id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
837,"College Road, Hyderabad",Hyderabad,17.409077,78.474549,College Road,4,7,6,3,56,8,Harassment,37.55,Medium,75.34,"17.412102,78.472937 -> 17.41106,78.47266 -> 17.41466,78.472817 -> 17.411642,78.476658 -> 17.409867,78.472873 -> 17.408699,78.469165 -> 17.409638,78.475423",False,none,No Alert,No action
838,"Railway Station Road, Vijayawada",Vijayawada,16.510872,80.543934,Railway Station Road,1,8,10,5,43,4,Stalking,35.93,Medium,67.04,"16.509002,80.544663 -> 16.511595,80.543508 -> 16.51246,80.541368 -> 16.512398,80.545121 -> 16.511816,80.543479 -> 16.515449,80.545167",True,call my father,Relative,Notify selected relative
839,"Railway Station Road, Delhi",Delhi,28.580008,77.217691,Railway Station Road,6,10,0,9,100,1,Abduction,45.91,Medium,68.95,"28.578538,77.220414 -> 28.580963,77.211835 -> 28.580757,77.216676 -> 28.581351,77.220052",True,help me,Help,Trigger emergency alert and share location
840,"Park Road, Pune",Pune,18.527231,73.914984,Park Road,7,4,6,1,68,7,None,40.82,Medium,67.59,"18.528793,73.916996 -> 18.526988,73.916931 -> 18.525744,73.913928 -> 18.52395,73.915588",True,call my sister,Relative,Notify selected relative
841,"Railway Station Road, Mumbai",Mumbai,19.087384,72.918974,Railway Station Road,2,3,1,10,70,3,Harassment,53.86,Medium,59.19,"19.086672,72.916029 -> 19.088466,72.921751 -> 19.089272,72.921685",True,dad,Relative,Notify selected relative
842,"Bus Stop Area, Vijayawada",Vijayawada,16.498784,80.631668,Bus Stop Area,2,7,4,3,29,5,Harassment,42.34,Medium,59.67,"16.498644,80.631472 -> 16.499301,80.631345 -> 16.49845,80.629726 -> 16.501138,80.631859 -> 16.498348,80.629799 -> 16.495454,80.634938 -> 16.500171,80.627608",True,help,Help,Trigger emergency alert and share location
843,"Main Road, Pune",Pune,18.54711,73.888987,Main Road,3,6,6,6,20,2,Harassment,37.73,Medium,72.49,"18.551105,73.889529 -> 18.543568,73.8899 -> 18.547722,73.887479 -> 18.548544,73.884818",True,mom,Relative,Notify selected relative
844,"Park Road, Hyderabad",Hyderabad,17.41967,78.455966,Park Road,4,3,3,4,55,8,Theft,46.02,Medium,56.55,"17.419385,78.457048 -> 17.42008,78.454109 -> 17.418405,78.453133 -> 17.419108,78.458654",True,dad,Relative,Notify selected relative
845,"Bus Stop Area, Chennai",Chennai,13.082551,80.300779,Bus Stop Area,9,8,4,3,0,3,Robbery,25.45,Low,93.12,"13.081081,80.300313 -> 13.087979,80.30439 -> 13.07837,80.301747 -> 13.082552,80.302845 -> 13.080689,80.29868 -> 13.080861,80.299349",True,help,Help,Trigger emergency alert and share location
846,"College Road, Bengaluru",Bengaluru,13.000136,77.553258,College Road,10,8,7,7,73,1,Stalking,29.34,Low,83.95,"12.995663,77.555776 -> 13.003314,77.55244 -> 12.999391,77.554391",True,call police,Emergency,Trigger emergency alert and share location
847,"College Road, Mumbai",Mumbai,19.127607,72.892001,College Road,5,7,9,2,53,4,Assault,35.7,Medium,70.71,"19.12356,72.889213 -> 19.12779,72.890363 -> 19.128094,72.890619 -> 19.124962,72.889058",True,dad,Relative,Notify selected relative
848,"Park Road, Mumbai",Mumbai,19.130682,72.908815,Park Road,3,10,1,6,89,1,None,50.98,Medium,64.78,"19.132032,72.90774 -> 19.13399,72.908732 -> 19.131234,72.908708 -> 19.123315,72.912827",True,help me,Help,Trigger emergency alert and share location
849,"Residential Street, Chennai",Chennai,13.099885,80.282244,Residential Street,4,8,6,8,15,6,Theft,26.93,Low,84.56,"13.100294,80.280751 -> 13.101426,80.278976 -> 13.10035,80.283648",True,help,Help,Trigger emergency alert and share location
850,"Park Road, Pune",Pune,18.513447,73.86968,Park Road,8,3,4,3,64,1,None,46.09,Medium,59.45,"18.511032,73.870272 -> 18.515143,73.864993 -> 18.514752,73.868322 -> 18.512965,73.866331 -> 18.511318,73.872095 -> 18.513529,73.868723",False,none,No Alert,No action
851,"Park Road, Mumbai",Mumbai,19.071923,72.894822,Park Road,6,7,3,6,4,1,Stalking,33.36,Medium,79.34,"19.071735,72.897554 -> 19.074349,72.895855 -> 19.07206,72.896465 -> 19.072709,72.897474 -> 19.074172,72.892276",True,help,Help,Trigger emergency alert and share location
852,"College Road, Vijayawada",Vijayawada,16.468191,80.623456,College Road,8,8,7,1,10,9,None,21.14,Low,94.34,"16.46425,80.624443 -> 16.469097,80.626363 -> 16.468642,80.620098 -> 16.465793,80.620501",True,call my sister,Relative,Notify selected relative
853,"Market Road, Chennai",Chennai,13.063872,80.264298,Market Road,3,1,9,1,22,5,Assault,42.59,Medium,59.18,"13.067549,80.260985 -> 13.067237,80.267261 -> 13.066118,80.262564",True,mom,Relative,Notify selected relative
854,"Residential Street, Vijayawada",Vijayawada,16.518186,80.603292,Residential Street,1,5,2,7,45,3,Sexual Harassment,50.34,Medium,60.91,"16.518001,80.602269 -> 16.515127,80.597098 -> 16.51559,80.606074 -> 16.517179,80.602869",False,none,No Alert,No action
855,"Industrial Road, Bengaluru",Bengaluru,12.994544,77.657798,Industrial Road,1,9,10,10,91,2,Harassment,39.48,Medium,79.95,"12.992113,77.652942 -> 13.000443,77.66347 -> 12.995015,77.654622 -> 12.996952,77.657528 -> 12.994262,77.660034 -> 12.99538,77.654833",True,call police,Emergency,Trigger emergency alert and share location
856,"Main Road, Visakhapatnam",Visakhapatnam,17.675434,83.24164,Main Road,7,4,3,5,30,4,Harassment,37.95,Medium,75.2,"17.676089,83.243974 -> 17.67453,83.242087 -> 17.666995,83.240516",False,none,No Alert,No action
857,"College Road, Visakhapatnam",Visakhapatnam,17.713537,83.204836,College Road,4,2,3,1,85,3,Harassment,59.43,Medium,43.64,"17.710933,83.207344 -> 17.714908,83.2069 -> 17.709221,83.204435 -> 17.712837,83.204135",False,none,No Alert,No action
858,"College Road, Hyderabad",Hyderabad,17.363439,78.474586,College Road,6,9,10,3,79,4,Sexual Harassment,33.02,Medium,83.13,"17.358657,78.479029 -> 17.364649,78.47448 -> 17.365706,78.470956 -> 17.361777,78.474283 -> 17.366853,78.47447 -> 17.364564,78.473112 -> 17.364656,78.478779",True,call my father,Relative,Notify selected relative
859,"Bus Stop Area, Hyderabad",Hyderabad,17.419843,78.483849,Bus Stop Area,4,2,5,5,22,1,None,44.86,Medium,67.71,"17.421287,78.485115 -> 17.422623,78.48661 -> 17.419525,78.485454 -> 17.418885,78.481541 -> 17.419169,78.483658 -> 17.415689,78.486",True,call my mother,Relative,Notify selected relative
860,"Industrial Road, Bengaluru",Bengaluru,12.874744,77.689619,Industrial Road,4,2,10,4,83,10,None,40.48,Medium,78.03,"12.874091,77.689643 -> 12.875501,77.688146 -> 12.875226,77.689259 -> 12.874508,77.690073 -> 12.87146,77.689718",False,none,No Alert,No action
861,"Park Road, Bengaluru",Bengaluru,12.977321,77.59911,Park Road,5,10,7,1,91,9,None,36.75,Medium,70.37,"12.980166,77.598226 -> 12.977889,77.602353 -> 12.977123,77.599646 -> 12.97708,77.602203 -> 12.976677,77.602318 -> 12.977062,77.596961 -> 12.979019,77.598348",True,help me,Help,Trigger emergency alert and share location
862,"College Road, Hyderabad",Hyderabad,17.406718,78.391171,College Road,7,3,5,2,81,6,None,45.61,Medium,63.91,"17.405569,78.388513 -> 17.405335,78.389737 -> 17.406598,78.387753 -> 17.407509,78.394587 -> 17.40742,78.393193 -> 17.409454,78.394262",True,help,Help,Trigger emergency alert and share location
863,"Park Road, Mumbai",Mumbai,19.141455,72.860228,Park Road,9,4,8,9,90,1,Theft,36.14,Medium,77.77,"19.143414,72.861999 -> 19.143394,72.864951 -> 19.141483,72.861293 -> 19.139004,72.865566",False,none,No Alert,No action
864,"Railway Station Road, Hyderabad",Hyderabad,17.373221,78.475912,Railway Station Road,4,7,3,9,10,1,Harassment,35.23,Medium,74.04,"17.371609,78.474088 -> 17.371912,78.472498 -> 17.371258,78.480784 -> 17.37506,78.478227",True,call my mother,Relative,Notify selected relative
865,"Market Road, Bengaluru",Bengaluru,13.012802,77.658795,Market Road,7,4,10,0,30,10,None,27.5,Low,74.24,"13.009727,77.656786 -> 13.011628,77.658044 -> 13.011685,77.659343 -> 13.01289,77.656988 -> 13.007363,77.656313 -> 13.011429,77.658177",True,call my mother,Relative,Notify selected relative
866,"Main Road, Pune",Pune,18.480862,73.839522,Main Road,9,7,10,4,96,1,None,34.82,Medium,74.53,"18.480547,73.836839 -> 18.47874,73.83625 -> 18.480478,73.837356 -> 18.483129,73.840537",True,call my mother,Relative,Notify selected relative
867,"Main Road, Bengaluru",Bengaluru,12.969155,77.566688,Main Road,4,4,9,6,66,6,Stalking,38.23,Medium,75.58,"12.970882,77.567045 -> 12.973164,77.567837 -> 12.971439,77.567022 -> 12.970844,77.564696",True,call my sister,Relative,Notify selected relative
868,"Industrial Road, Hyderabad",Hyderabad,17.368956,78.498928,Industrial Road,2,4,0,10,18,4,None,44.68,Medium,65.63,"17.370225,78.501679 -> 17.365394,78.496492 -> 17.36953,78.497117 -> 17.3774,78.500217",True,help,Help,Trigger emergency alert and share location
869,"Bus Stop Area, Bengaluru",Bengaluru,12.968858,77.576559,Bus Stop Area,9,2,6,7,39,3,Harassment,33.48,Medium,79.22,"12.968933,77.576839 -> 12.967716,77.575876 -> 12.972219,77.58002 -> 12.969488,77.573206",True,save me,Help,Trigger emergency alert and share location
870,"Railway Station Road, Bengaluru",Bengaluru,12.990448,77.649,Railway Station Road,5,10,7,10,25,5,Abduction,21.7,Low,99.64,"12.992284,77.652556 -> 12.990581,77.65057 -> 12.988746,77.649731 -> 12.993772,77.647526 -> 12.988294,77.649244 -> 12.989881,77.650623",True,help,Help,Trigger emergency alert and share location
871,"Park Road, Pune",Pune,18.504536,73.916845,Park Road,7,3,7,7,54,9,Assault,31.32,Medium,76.23,"18.50767,73.914933 -> 18.500046,73.91744 -> 18.503899,73.914071 -> 18.500333,73.916824 -> 18.506976,73.918307 -> 18.504678,73.918042 -> 18.504468,73.913271",True,call my father,Relative,Notify selected relative
872,"Main Road, Mumbai",Mumbai,19.026269,72.870589,Main Road,7,7,1,4,76,9,Assault,40.27,Medium,67.82,"19.028396,72.872482 -> 19.027782,72.869888 -> 19.022817,72.871619 -> 19.027582,72.864618",True,mom,Relative,Notify selected relative
873,"Park Road, Chennai",Chennai,13.053498,80.246513,Park Road,8,5,7,4,48,9,None,28.55,Low,84.75,"13.05149,80.246418 -> 13.052972,80.246115 -> 13.051707,80.244916 -> 13.050797,80.247463 -> 13.054926,80.244586 -> 13.0573,80.245726 -> 13.057323,80.244908",True,call my sister,Relative,Notify selected relative
874,"Industrial Road, Vijayawada",Vijayawada,16.43527,80.662077,Industrial Road,4,3,3,0,1,9,Harassment,40.16,Medium,65.78,"16.435356,80.660471 -> 16.435184,80.660799 -> 16.434514,80.664181 -> 16.435731,80.663602 -> 16.43469,80.661222",True,call my sister,Relative,Notify selected relative
875,"Park Road, Delhi",Delhi,28.573528,77.196049,Park Road,6,7,7,4,82,10,Sexual Harassment,33.95,Medium,60.54,"28.572052,77.195844 -> 28.574937,77.195377 -> 28.574397,77.1906",True,call my father,Relative,Notify selected relative
876,"Park Road, Hyderabad",Hyderabad,17.383011,78.427917,Park Road,10,3,3,6,32,6,Stalking,31.45,Medium,76.2,"17.382543,78.431108 -> 17.383939,78.427963 -> 17.382962,78.426133 -> 17.381651,78.428985 -> 17.379548,78.4294 -> 17.38204,78.429981 -> 17.385414,78.423734",True,call my sister,Relative,Notify selected relative
877,"Main Road, Pune",Pune,18.500045,73.826757,Main Road,7,7,3,3,61,1,Stalking,43.34,Medium,56.8,"18.497464,73.83286 -> 18.501569,73.83155 -> 18.502118,73.824902 -> 18.499091,73.828228 -> 18.501139,73.825314",False,none,No Alert,No action
878,"Railway Station Road, Vijayawada",Vijayawada,16.45335,80.763072,Railway Station Road,10,8,10,2,32,4,Abduction,20.55,Low,93.15,"16.452536,80.763355 -> 16.452743,80.763379 -> 16.456567,80.762761 -> 16.450443,80.762668 -> 16.452189,80.766632 -> 16.456278,80.763341 -> 16.450153,80.760007",True,dad,Relative,Notify selected relative
879,"Main Road, Vijayawada",Vijayawada,16.506729,80.659771,Main Road,2,2,10,6,50,10,Sexual Harassment,37.05,Medium,71.88,"16.505529,80.658289 -> 16.506671,80.653814 -> 16.503976,80.658203",True,mom,Relative,Notify selected relative
880,"Market Road, Delhi",Delhi,28.656163,77.180517,Market Road,7,5,4,8,68,7,Assault,35.82,Medium,78.28,"28.656729,77.183762 -> 28.659319,77.180373 -> 28.654974,77.178857 -> 28.65556,77.179432 -> 28.657547,77.181568 -> 28.657643,77.183665 -> 28.66082,77.180829",True,call police,Emergency,Trigger emergency alert and share location
881,"Residential Street, Hyderabad",Hyderabad,17.423481,78.474392,Residential Street,10,6,2,4,95,4,None,42.39,Medium,75.34,"17.426135,78.476913 -> 17.423716,78.472721 -> 17.419995,78.474292 -> 17.427314,78.473617 -> 17.425444,78.476502 -> 17.422772,78.477683",True,call police,Emergency,Trigger emergency alert and share location
882,"Industrial Road, Vijayawada",Vijayawada,16.404397,80.605204,Industrial Road,1,2,1,6,67,7,None,56.57,Medium,44.35,"16.402348,80.606045 -> 16.405122,80.606189 -> 16.405887,80.602829 -> 16.401352,80.606195 -> 16.402821,80.601278",True,call my father,Relative,Notify selected relative
883,"Market Road, Pune",Pune,18.554397,73.905529,Market Road,3,4,7,2,64,2,Robbery,49.73,Medium,65.36,"18.554865,73.907094 -> 18.557822,73.903925 -> 18.557174,73.906217 -> 18.556681,73.905994 -> 18.557638,73.906088 -> 18.550687,73.909159",True,dad,Relative,Notify selected relative
884,"Bus Stop Area, Vijayawada",Vijayawada,16.473036,80.691857,Bus Stop Area,1,3,3,4,52,8,Sexual Harassment,51.0,Medium,53.65,"16.475976,80.694694 -> 16.474111,80.693128 -> 16.474093,80.686822 -> 16.473332,80.689067 -> 16.473464,80.689 -> 16.470074,80.695869 -> 16.47571,80.691847",True,help,Help,Trigger emergency alert and share location
885,"Residential Street, Vijayawada",Vijayawada,16.512667,80.639323,Residential Street,5,2,6,1,35,2,Theft,46.48,Medium,64.07,"16.510977,80.641807 -> 16.512034,80.638273 -> 16.512721,80.637845 -> 16.513489,80.63798 -> 16.513838,80.642363",False,none,No Alert,No action
886,"Industrial Road, Mumbai",Mumbai,19.050824,72.87313,Industrial Road,2,1,0,4,96,1,None,69.36,High,37.34,"19.049734,72.874291 -> 19.052212,72.875838 -> 19.049309,72.870773 -> 19.050055,72.870711 -> 19.052235,72.870226 -> 19.056657,72.87637 -> 19.050855,72.875298",False,none,No Alert,No action
887,"Park Road, Visakhapatnam",Visakhapatnam,17.629512,83.306818,Park Road,10,9,4,7,60,6,None,25.45,Low,86.49,"17.629211,83.302178 -> 17.630728,83.304052 -> 17.629766,83.305457 -> 17.626818,83.304807 -> 17.630076,83.303614 -> 17.62764,83.308476 -> 17.636018,83.308012",True,call my father,Relative,Notify selected relative
888,"College Road, Pune",Pune,18.488296,73.843851,College Road,4,6,10,6,48,10,Sexual Harassment,27.64,Low,84.92,"18.487422,73.846109 -> 18.48884,73.846121 -> 18.48751,73.847165",True,call my mother,Relative,Notify selected relative
889,"Main Road, Hyderabad",Hyderabad,17.379173,78.452708,Main Road,8,7,2,0,77,2,Abduction,47.25,Medium,71.04,"17.374611,78.450861 -> 17.377605,78.458979 -> 17.38369,78.456443 -> 17.378346,78.458773 -> 17.380094,78.455151 -> 17.379622,78.452584 -> 17.378544,78.452184",True,call police,Emergency,Trigger emergency alert and share location
890,"College Road, Bengaluru",Bengaluru,12.992897,77.607452,College Road,8,10,10,10,60,9,None,14.09,Low,100.0,"12.996671,77.600035 -> 12.994172,77.609246 -> 12.995764,77.60729 -> 12.993417,77.609917 -> 12.996625,77.606701 -> 12.993564,77.611648",True,save me,Help,Trigger emergency alert and share location
891,"Main Road, Pune",Pune,18.446059,73.83255,Main Road,6,1,5,10,56,4,Harassment,40.73,Medium,80.9,"18.44879,73.833856 -> 18.444938,73.830345 -> 18.444581,73.83642 -> 18.444488,73.832804 -> 18.444175,73.834657 -> 18.444712,73.832306 -> 18.441851,73.828517",True,call my sister,Relative,Notify selected relative
892,"College Road, Hyderabad",Hyderabad,17.385269,78.440319,College Road,7,8,10,1,93,7,None,33.89,Medium,87.94,"17.380115,78.438319 -> 17.385311,78.439406 -> 17.382509,78.437924 -> 17.382792,78.439602 -> 17.390149,78.440514",True,dad,Relative,Notify selected relative
893,"Main Road, Vijayawada",Vijayawada,16.547602,80.665744,Main Road,3,8,1,4,86,9,Sexual Harassment,47.77,Medium,63.5,"16.540602,80.664983 -> 16.55087,80.664315 -> 16.552008,80.669454 -> 16.546429,80.664486 -> 16.545068,80.66417 -> 16.544521,80.666816",True,help me,Help,Trigger emergency alert and share location
894,"Industrial Road, Hyderabad",Hyderabad,17.334038,78.507831,Industrial Road,9,4,3,3,21,2,Abduction,36.52,Medium,77.42,"17.329885,78.511706 -> 17.335322,78.509705 -> 17.332141,78.509387",True,call my father,Relative,Notify selected relative
895,"Market Road, Visakhapatnam",Visakhapatnam,17.726224,83.215049,Market Road,6,7,4,3,92,5,Stalking,45.09,Medium,73.82,"17.726334,83.217901 -> 17.726957,83.216513 -> 17.722046,83.215977 -> 17.724387,83.212933 -> 17.730584,83.214515 -> 17.723716,83.214151",True,help,Help,Trigger emergency alert and share location
896,"Residential Street, Mumbai",Mumbai,19.030484,72.927886,Residential Street,6,4,9,9,8,6,Stalking,22.64,Low,89.49,"19.031807,72.931276 -> 19.029234,72.929216 -> 19.027909,72.934 -> 19.032825,72.927404 -> 19.028552,72.927601 -> 19.029634,72.932768",True,call my father,Relative,Notify selected relative
897,"Bus Stop Area, Delhi",Delhi,28.571006,77.213718,Bus Stop Area,4,5,1,4,11,2,Assault,44.48,Medium,61.93,"28.570712,77.213446 -> 28.570716,77.215901 -> 28.572528,77.214765",True,call my mother,Relative,Notify selected relative
898,"Residential Street, Bengaluru",Bengaluru,12.86541,77.605093,Residential Street,10,6,2,5,48,10,None,28.55,Low,75.68,"12.867026,77.608779 -> 12.863094,77.604439 -> 12.863912,77.608182",True,call police,Emergency,Trigger emergency alert and share location
899,"Park Road, Bengaluru",Bengaluru,12.974926,77.655092,Park Road,7,6,5,10,16,9,None,21.18,Low,95.99,"12.975532,77.655263 -> 12.976971,77.650748 -> 12.975139,77.654917 -> 12.97674,77.654623 -> 12.972329,77.65511 -> 12.972219,77.650279 -> 12.976744,77.65654",True,dad,Relative,Notify selected relative
900,"Main Road, Delhi",Delhi,28.630248,77.254602,Main Road,9,8,5,2,37,4,None,29.98,Low,77.8,"28.62667,77.254427 -> 28.629379,77.252496 -> 28.630048,77.253073 -> 28.625658,77.253499 -> 28.627407,77.255181 -> 28.628608,77.257381",True,call my sister,Relative,Notify selected relative
901,"Market Road, Chennai",Chennai,13.138835,80.294478,Market Road,1,10,5,4,64,2,Harassment,46.09,Medium,52.25,"13.142598,80.298417 -> 13.138882,80.297785 -> 13.137456,80.289812 -> 13.136934,80.298801 -> 13.135107,80.294477",True,dad,Relative,Notify selected relative
902,"Industrial Road, Bengaluru",Bengaluru,12.972795,77.576646,Industrial Road,5,7,0,5,19,4,Sexual Harassment,39.84,Medium,65.44,"12.972976,77.575241 -> 12.96924,77.577184 -> 12.975478,77.57882 -> 12.970771,77.573518",False,none,No Alert,No action
903,"Industrial Road, Vijayawada",Vijayawada,16.496253,80.702873,Industrial Road,7,5,10,2,2,9,Harassment,20.77,Low,94.46,"16.498013,80.705098 -> 16.497305,80.703175 -> 16.497909,80.701508 -> 16.492717,80.70468 -> 16.499347,80.700077 -> 16.498308,80.707075",True,call my mother,Relative,Notify selected relative
904,"College Road, Mumbai",Mumbai,19.075921,72.84907,College Road,7,7,1,8,93,5,Stalking,42.98,Medium,69.34,"19.074545,72.847528 -> 19.077004,72.845061 -> 19.072311,72.849118 -> 19.075865,72.849929 -> 19.080609,72.849331",True,save me,Help,Trigger emergency alert and share location
905,"Residential Street, Delhi",Delhi,28.634836,77.174856,Residential Street,3,6,9,0,90,5,Theft,47.5,Medium,63.24,"28.63352,77.175035 -> 28.634564,77.177438 -> 28.631561,77.169148 -> 28.634302,77.176027 -> 28.635217,77.177937 -> 28.635929,77.173446",True,help me,Help,Trigger emergency alert and share location
